··	.
·̣	·
·ⲻ	.
·	·
·]	·
̂ⲣ	ⲣ
̄ϩⲙⲟⲩ	ϩⲙⲟⲩ
̄ⲡ	ⲡ
̇ϣⲁ	ϣⲁ
̇ⲉ̇	ⲉ
̇ⲙ̄ⲡ︤	ⲙⲡ
̇ⲙⲁⲕⲁⲣⲓ̇ⲁ	ⲙⲁⲕⲁⲣⲓⲁ
̇ⲛ̇	ⲛ
̇ⲧⲱ̇ⲱ̇ⲃⲉ	ⲧⲱⲱⲃⲉ
̣·	·
̣̣ⲛ̣[ⲟ]ⲩ̣ⲧⲉ	ⲛⲟⲩⲧⲉ
̣ϣⲱⲡ̣ⲉ	ϣⲱⲡⲉ
̣ϥ	ϥ
̣ⲛ̣	ⲛ
̣ⲛⲧ	ⲛⲧ
̣[ⲡⲉⲓ	ⲡⲉⲓ
̣[.....]ⲟ̣[...]	.....ⲟ...
Φαμθ	Φαμενωθ
β	β
γ̣	γ
γ	γ
θἰνδ	θἰνδικτίονος
νο	ⲛⲟⲙⲓⲥⲙⲁ
ο̣	ο
ο	ο
υἱό	υἱός
ϣ̄ⲁϩⲣⲁⲓ̈	ϣⲁϩⲣⲁⲓ
ϣ̄ⲱϣ	ϣⲱϣ
ϣ̇ϣⲉ	ϣϣⲉ
ϣ̇ϥⲉ	ϣϥⲉ
ϣ̇ϭⲙ̇ϭⲟⲙ	ϣϭⲙϭⲟⲙ
ϣ̇ⲁ	ϣⲁ
ϣ̇ⲃⲛ̇ⲛⲉ	ϣⲃⲛⲛⲉ
ϣ̇ⲗⲏⲗ	ϣⲗⲏⲗ
ϣ̇ⲙⲟⲩⲛⲉ	ϣⲙⲟⲩⲛⲉ
ϣ̇ⲙⲟⲩⲛ	ϣⲙⲟⲩⲛ
ϣ̇ⲡ̇ϩ̇ⲙⲟⲧ	ϣⲡϩⲙⲟⲧ
ϣ̇ⲡⲛ̇ϣⲱⲡ	ϣⲡⲛϣⲱⲡ
ϣ̇ⲥ̇ⲛⲉ	ϣⲥⲛⲉ
ϣ̇ⲥ	ϣⲥ
ϣ̇ⲧⲏⲛ	ϣⲧⲏⲛ
ϣ̇ⲧⲟⲣⲧ̇ⲣ	ϣⲧⲟⲣⲧⲣ
ϣ̇ⲧⲟⲣⲧⲣ̇	ϣⲧⲟⲣⲧⲣ
ϣ̇ⲧⲣ̇ⲧⲱⲣ	ϣⲧⲣⲧⲱⲣ
ϣ̇ⲧⲱⲟⲩⲛ	ϣⲧⲱⲟⲩⲛ
ϣ̇ⲱⲡⲉ	ϣⲱⲡⲉ
ϣ̈ⲏⲣⲉ⳿	ϣⲏⲣⲉ
ϣ̣ⲁ̣ϫⲉ	ϣⲁϫⲉ
ϣ̣ⲁ̣	ϣⲁ
ϣ̣ⲏ̣ⲣⲉ	ϣⲏⲣⲉ
ϣ̣ⲏⲣⲉ	ϣⲏⲣⲉ
ϣ̣ⲗ̣ⲟ̣ϥ	ϣⲗⲟϥ
ϣ̣ⲱⲡⲉ	ϣⲱⲡⲉ
ϣ̣︤ϫ︥ⲥⲟϭ	ϣϫⲥⲟϭ
ϣ̣[ⲃ]ⲃⲓⲱ	ϣⲃⲃⲓⲱ
